ACANTHACEAE#THOMANDERSIA LAURIFOLIA#CYANIDIN
ARACEAE#ANTHURIUM ANDRAEANUM#CYANIDIN-3-O-ALPHA-L-RHAMNOSYL-GLUCOSIDE
ARACEAE#PHILODENDRON HASTATUM#CYANIDIN-3-O-BETA-D-RUTINOSIDE
ARACEAE#ZANTEDESCHIA AETHIOPICA#CYANIDIN
ARALIACEAE#FATSIA JAPONICA#CYANIDIN-3-LATHYROSIDE
ARECACEAE#ARECA CATECHU#ARECA CYANIDIN TRIMER 7#ARECA CYANIDIN TRIMER 8#LEUCOCYANIDIN#PROANTHOCYANIDIN A-1#PROCYANIDIN A-1#PROCYANIDIN B-1#PROCYANIDIN B-2#PROCYANIDIN B-7#PROCYANIDIN C-1#PROCYANIDIN DIMER A-1#PROCYANIDIN DIMER A-2#PROCYANIDIN TETRAMER A-1#PROCYANIDIN TETRAMER A-2#PROCYANIDIN TRIMER A-1#PROCYANIDIN TRIMER A-2
ARECACEAE#DAEMONOROPS DRACO#DAEMONOROPS DRACO DEOXYPROANTHOCYANIDIN C#DEOXYPROANTHOCYANIDIN B
ARECACEAE#EUTERPE EDULIS#CYANIDIN-3-O-BETA-D-RUTINOSIDE
ARECACEAE#EUTERPE OLERACEA#PROCYANIDIN DIMER#PROCYANIDIN TETRAMER#PROCYANIDIN TRIMER
ARECACEAE#PHOENIX SYLVESTRIS#PROCYANIDIN
ARECACEAE#PINANGA POLYMORPHA#CYANIDIN-3-O-BETA-D-RUTINOSIDE
ARISTOLOCHIACEAE#ASARUM CANADENSE#CYANIDIN GLYCOSIDE
ARISTOLOCHIACEAE#HEXASTYLIS HETEROPHYLLA#CYANIDIN ACYLATED GLYCOSIDES
